완료,제목,파일명,날짜,시작시간,방송길이,주제,part,상세내용,메모,URL,손님,영도,주식,이미지파일명,카테고리,고유 라이브 ID,금일 방송 횟수,타임라인CSV,소스CSV
False,[광고] 8시 브라운더스트2. 대체 무슨게임일까.,20250622,20250622,,02:21:02,,,,,https://chzzk.naver.com/video/7881603,,,,,,,,,
False,DLC를 위한 피구라 재활,20250622,20250622,,05:38:40,,,,,https://chzzk.naver.com/video/7866149,,,,,,,,,
False,던파를 와다다,20250621,20250621,,01:20:13,,,,,https://chzzk.naver.com/video/7859529,,,,,,,,,
False,민주주의 그림방송,20250616,20250616,,03:53:32,,,,,https://chzzk.naver.com/video/7771198,,,,,,,,,
False,던파만화원고하기,20250614,20250614,,05:48:17,,,,,https://chzzk.naver.com/video/7737264,,,,,,,,,
False,원하는걸 빠르게 그려드립니다.,20250614,20250614,,03:07:26,,,,,https://chzzk.naver.com/video/7752407,,,,,,,,,
False,나벨뛰고 그림그리기,20250614,20250614,,01:29:54,,,,,https://chzzk.naver.com/video/7748460,,,,,,,,,
False,던파만화완결까지 2화,20250608,20250608,,06:12:42,,,,,https://chzzk.naver.com/video/7641748,,,,,,,,,
False,스피드 드로잉하기,20250608,20250608,,04:14:57,,,,,https://chzzk.naver.com/video/7658017,,,,,,,,,
False,이 게임 왜 자꾸 장사가 잘되는건데!!,20250607,20250607,,01:48:27,,,,,https://chzzk.naver.com/video/7634393,,,,,,,,,
False,일요일그림방송,20250601,20250601,,02:56:02,,,,,https://chzzk.naver.com/video/7542880,,,,,,,,,
False,"노가리와 원고, 그리고 영도",20250531,20250531,,02:37:58,,,,,https://chzzk.naver.com/video/7521472,,,,,,,,,
False,토요일그림그리기,20250531,20250531,,02:09:49,,,,,https://chzzk.naver.com/video/7525596,,,,,,,,,
False,나벨부터 얼른하기,20250531,20250531,,02:01:44,,,,,https://chzzk.naver.com/video/7519199,,,,,,,,,
False,일요일그림방송,20250525,20250525,,02:57:48,,,,,https://chzzk.naver.com/video/7432683,,,,,,,,,
False,나벨잡고 그림방송하기,20250524,20250524,,00:56:39,,,,,https://chzzk.naver.com/video/7412017,,,,,,,,,
False,짧게 원고하기,20250523,20250523,,02:36:14,,,,,https://chzzk.naver.com/video/7397439,,,,,,,,,
False,스핏파이어. 이새1낀 대체 뭐지?,20250521,20250521,,01:16:46,,,,,https://chzzk.naver.com/video/7363721,,,,,,,,,
False,원고 조금만 하다 자기,20250521,20250521,,02:20:00,,,,,https://chzzk.naver.com/video/7366585,,,,,,,,,
False,월요일그림방송,20250519,20250519,,03:40:44,,,,,https://chzzk.naver.com/video/7338442,,,,,,,,,
False,일요일그림방송,20250519,20250519,,04:09:50,,,,,https://chzzk.naver.com/video/7324627,,,,,,,,,
False,던파로온하는날,20250517,20250517,,04:13:43,,,,,https://chzzk.naver.com/video/7301195,,,,,,,,,
False,엠버서더랑 던파로온보기,20250517,20250517,,01:30:09,,,,,https://chzzk.naver.com/video/7302465,,,,,,,,,
False,레바의 불고기로드,20250512,20250512,,03:20:42,,,,,https://chzzk.naver.com/video/7214408,,,,,,,,,
False,심야근로,20250511,20250511,,04:44:03,,,,,https://chzzk.naver.com/video/7202777,,,,,,,,,
False,백만년만에 그림방송하기,20250511,20250511,,03:16:48,,,,,https://chzzk.naver.com/video/7197007,,,,,,,,,
False,나벨뛰고 그림방송하기,20250510,20250510,,01:17:09,,,,,https://chzzk.naver.com/video/7192732,,,,,,,,,
False,네오플의 노예 [든파공식만화그리기],20250507,20250507,,09:38:45,,,,,https://chzzk.naver.com/video/7137891,,,,,,,,,
False,나벨가실분,20250503,20250503,,02:43:29,,,,,https://chzzk.naver.com/video/7082388,,,,,,,,,
False,한강산책,20250427,20250427,,01:35:17,,,,,https://chzzk.naver.com/video/6993771,,,,,,,,,
False,노인이랑 나벨레이드가실분,20250426,20250426,,01:10:52,,,,,https://chzzk.naver.com/video/6970822,,,,,,,,,
False,사람들하고 던파얘기하기,20250426,20250426,,02:19:20,,,,,https://chzzk.naver.com/video/6976208,,,,,,,,,
False,날좋은 토요일 그림그리는 남자,20250426,20250426,,03:08:16,,,,,https://chzzk.naver.com/video/6973545,,,,,,,,,
False,기상 20시간경과,20250425,20250425,,01:52:49,,,,,https://chzzk.naver.com/video/6957701,,,,,,,,,
False,기상 20시간경과,20250425,20250425,,00:32:41,,,,,https://chzzk.naver.com/video/6958158,,,,,,,,,
False,블루라벨 처먹고 자기,20250422,20250422,,01:35:21,,,,,https://chzzk.naver.com/video/6914809,,,,,,,,,
False,원고하는거 관찰하기,20250422,20250422,,02:11:42,,,,,https://chzzk.naver.com/video/6912646,,,,,,,,,
False,그림재활훈련,20250420,20250420,,04:05:15,,,,,https://chzzk.naver.com/video/6882784,,,,,,,,,
